Freq.	V(dw2)
7.94328234724284e+004	(-9.52624096416485e+001dB,1.77812530842574e+002°)
1.00000000000000e+005	(-9.92241008516802e+001dB,1.77036358529500e+002°)
1.25892541179417e+005	(-1.03163311272473e+002dB,1.76106780078132e+002°)
1.58489319246112e+005	(-1.07067243467328e+002dB,1.74978579503135e+002°)
1.99526231496889e+005	(-1.10915963798167e+002dB,1.73600016381387e+002°)
2.51188643150959e+005	(-1.14678790991134e+002dB,1.71913657039753e+002°)
3.16227766016839e+005	(-1.18309319478481e+002dB,1.69859602195428e+002°)
3.98107170553499e+005	(-1.21739206293446e+002dB,1.67382414206068e+002°)
5.01187233627274e+005	(-1.24871817792432e+002dB,1.64442066005967e+002°)
6.30957344480196e+005	(-1.27578697233275e+002dB,1.61025022483062e+002°)
7.94328234724285e+005	(-1.29704210033975e+002dB,1.57141987612365e+002°)
1.00000000000000e+006	(-1.31084525282647e+002dB,1.52786867313149e+002°)
1.25892541179417e+006	(-1.31582645098504e+002dB,1.47832393582495e+002°)
1.58489319246112e+006	(-1.31131369441625e+002dB,1.41869670601688e+002°)
1.99526231496889e+006	(-1.29771378088434e+002dB,1.34048176723973e+002°)
2.51188643150959e+006	(-1.27686308883031e+002dB,1.23015526737599e+002°)
3.16227766016839e+006	(-1.25258617759408e+002dB,1.07191538402453e+002°)
3.98107170553499e+006	(-1.23120016384944e+002dB,8.59394213267723e+001°)
5.01187233627275e+006	(-1.21966197246612e+002dB,6.16240728233604e+001°)
6.30957344480196e+006	(-1.22009167899864e+002dB,3.94176358405473e+001°)
7.94328234724285e+006	(-1.22807904836984e+002dB,2.30725551142056e+001°)
1.00000000000000e+007	(-1.23801522884872e+002dB,1.27477535499846e+001°)
